x0, x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, y
-227, -97, -527, -21, -551, 560, 899, 443, -68, 184, -751, 803, 840, -715, 438, -420, -788, 748, 249, 947, -530, 661, -406, 926, 941, 861, 83, -356, 467, 198, 1638115
405, -884, 948, 442, -858, -188, 528, -145, -491, 866, 665, 931, 934, -90, 685, 819, 1000, 368, 69, 740, 471, 106, 501, -122, -740, -500, -20, -396, 150, -299, 5234412
-80, -131, -455, 658, 990, -667, -202, -137, -637, 552, 430, 765, 28, -516, -898, -271, -463, 542, 501, -345, 595, 890, -155, -453, -16, 308, 539, -139, -927, 362, -802921
-923, 509, -442, -816, 292, -930, 293, -241, 648, 910, 454, 236, 915, -85, -245, 430, -346, -127, -61, -180, -86, -109, -622, 261, 600, 630, -70, 922, 268, -392, -585739
560, 544, -180, -262, 177, 436, -586, 713, -373, -326, 203, -342, 59, 380, 779, -590, -822, -561, 128, -908, 464, -928, 101, 50, -333, -942, 105, -693, 707, -228, -737979
-548, -898, -625, -632, 830, -862, -138, -607, -266, 362, -847, -646, 651, 139, 732, 153, 37, 722, 797, -673, 120, 187, 705, -797, -792, -361, 797, -333, 209, -942, -2777410
-230, 248, 621, -354, 258, 232, -570, -282, 120, 808, 24, -546, -999, -609, 938, 395, 748, 834, -494, -434, 671, 910, -48, -275, 636, 100, -426, -97, -489, -26, 2606341
526, -236, 294, 90, 14, 825, 290, -383, -920, -725, 772, 132, -302, 337, 703, 215, -997, 948, -67, 578, -992, 976, 130, 470, 691, -759, -446, -267, -608, -463, 1474099
644, -248, 665, 136, 965, 724, -279, -211, 725, 582, 406, 958, 248, -186, -53, -35, -661, 306, 776, 37, 384, -811, -703, -845, 830, 770, 864, -208, -862, -731, 60217
738, 775, -838, -619, 102, 188, 385, -551, -716, 503, -545, -106, -310, -143, 781, -166, 777, 872, 939, 827, -472, 656, -227, 742, -347, -221, -25, 29, -920, 600, 2737134
-538, 918, 364, -472, -228, 320, 647, 809, -229, -737, -726, 597, 7, -88, 66, 253, -630, -483, -837, 786, 79, 58, -515, -638, -525, -418, 83, 836, 492, -345, -129423
982, -507, 666, -174, 703, -740, -656, 874, 695, 469, 881, -926, 261, -72, -630, 49, -323, -42, 283, 691, 697, 293, -73, -868, -190, -634, 158, -696, -56, -683, -1959700
26, -828, -164, 730, -561, -551, 103, 411, 829, 207, -719, -692, -96, 555, 485, -677, 715, -909, -502, 226, 131, 673, 433, -290, -692, 496, -550, 161, -788, 34, -1248781
785, -786, -638, 303, 971, 211, -367, 718, -523, -549, -471, 80, 534, -762, 381, 306, -54, 963, -717, 803, -653, 705, 340, -770, 369, 362, 371, 834, 147, -146, -116986
-677, 241, 196, -787, 443, -597, -323, -920, 237, 717, 360, -251, -317, -261, 20, -222, 773, 547, -297, -871, 161, -679, -553, -892, -211, 98, 694, 935, -133, -763, -1112862
242, 607, -517, -443, -418, 555, 620, 660, 383, -430, 821, 754, 910, 209, -335, 763, 94, 915, 247, 945, -679, 255, 233, -266, -375, 149, -956, -505, -638, 488, 3406220
-627, -211, -318, 220, -46, 263, -114, -813, 388, -94, -728, 737, 915, 931, 477, 896, 169, 963, 219, -612, 811, -551, 297, 909, -233, -63, -284, 638, -298, 912, 2757267
126, -749, -271, 401, -850, 70, 752, 940, -620, -539, -982, -458, 988, 479, -627, 142, -854, -757, -923, -373, -492, 155, 809, 130, 897, 532, 689, -359, 108, -631, -1094533
-586, -991, -465, -767, -510, -277, 553, -574, 610, -421, 771, 56, -160, 659, -915, -787, -961, 624, 697, -114, 69, -236, -568, 214, -802, -280, 948, -865, 697, 848, -3333256
-795, 521, 643, 732, 78, -903, 529, -883, -588, 320, -198, -292, -481, 600, -108, 355, -502, 745, 3, 665, 847, 502, -978, 78, 754, -951, -377, -203, 663, 695, -986568
905, 927, -778, 448, -95, 943, -768, -601, -992, -92, -110, -851, -828, -648, -22, 775, -127, -641, -463, -433, -800, 990, 833, 837, 521, 714, -406, -814, 895, -396, -1131524
-386, -112, 974, 928, -117, -121, -762, -589, 884, 215, 581, 412, -292, 629, 938, -168, 240, 871, 79, -176, 965, 480, -372, -638, -584, 424, 267, 86, 57, -161, -842153
584, 671, -121, -996, -597, 359, 986, 647, -423, 874, -71, 456, 238, 885, -576, -287, 68, -608, 697, -716, 633, -705, -948, -543, -545, -308, -170, 907, 258, 845, 3492137
57, -214, -244, 609, -61, -518, 767, -514, 685, -287, 881, -297, -974, -596, 3, 493, -239, 189, 572, 382, 509, 797, -262, 174, -587, -713, -669, -173, 57, 41, -683513
-163, 726, 366, 187, 344, 160, 534, -497, 965, -83, -507, 599, 235, 548, 21, 85, 62, 20, -613, 2, -45, 613, 368, -931, 615, 50, 463, 449, 868, -449, -1416987
-546, -116, 84, -179, -873, -337, 456, 912, 709, 176, 999, 434, -557, -967, 294, 317, -309, 176, 462, 824, -647, 396, 914, -286, 19, -922, 986, 656, 28, -262, 1288511
-607, -939, 784, 347, -801, -914, -478, 949, 727, 808, -165, -547, -166, -571, -266, 803, 724, 721, -407, -877, 851, 645, -455, 572, -967, -193, 220, 475, 315, -667, 1186194
363, -581, -736, -338, -915, -631, 922, 300, -278, -260, 769, 608, 922, 88, 306, -15, 828, 853, -313, -673, -933, 170, -504, 964, -124, -715, 564, -899, 279, 44, 3163966
-36, -427, -988, -546, 208, 229, 859, 414, 221, -949, 898, 320, -988, -334, -869, -865, 315, -514, -999, -481, -662, -945, 65, 608, -481, -776, -587, -90, -105, 8, -731526
301, -965, 495, -760, -788, -905, -787, 285, 459, 853, 155, 1000, 969, 55, -785, 296, -131, 157, 737, -765, -58, -642, -140, -472, -564, -396, 505, -922, 989, 104, 920009
-862, -16, 183, -263, 216, -803, -84, -662, -336, -589, 536, -181, -166, 858, 627, -417, -924, -473, 498, 912, 296, 107, 281, 254, 667, -948, 720, 580, 713, 456, -3165219
-336, -552, 536, 190, -972, 532, -107, 831, -523, 904, 657, -48, -86, 706, 20, 155, 45, -861, 841, -771, 136, -265, -729, -168, 947, -991, -389, -529, -525, 180, 3589124
965, 706, -188, 872, -790, 471, -858, 36, -841, -354, -232, -58, 732, 515, 770, 267, 612, 933, -632, -114, -97, -323, -942, 198, 245, 590, 953, -51, 113, -587, 979419
-203, 9, -243, 194, 670, 798, 921, -1000, -352, 72, -940, -584, 812, -607, 667, -361, -111, -326, 412, 298, -183, 814, -165, -917, 727, -354, -18, -61, -298, -546, 30747
-125, -305, 633, -787, 358, 386, 699, -725, -922, 880, -660, -950, 922, 396, -150, 259, 963, -771, -467, -463, -133, -461, -801, -864, 394, -426, 796, -968, 132, -190, 1227424
704, 969, 68, 710, -676, 603, 261, 528, 789, -237, -451, 547, -711, -769, -132, -505, 983, -450, 589, -796, -702, 565, -550, 812, 624, 112, -314, -742, -17, -994, 1327791
-960, -611, -806, -834, -928, 712, 220, 875, -220, 453, 560, 214, 543, 324, 724, 350, 584, -601, -605, -790, -215, 670, 288, -443, -595, 592, 601, 615, -210, 249, 2975727
192, -180, -926, -201, 328, -758, -371, -795, 438, 792, -421, -681, 416, 360, 524, 932, 778, -109, -723, 401, 956, -429, -577, -8, 635, -817, -946, -504, 599, 113, -58979
424, -481, 245, -953, -180, -1, 466, -112, 950, 420, 113, 118, 853, 546, -525, 5, 850, 62, -556, 110, -200, -909, -911, 244, 758, 903, 859, -373, 696, -962, -483885
104, 108, -668, 146, -76, -467, -855, -768, 359, -342, 62, -417, 725, -756, -470, -85, 549, 106, -668, -702, -300, -120, -441, 80, -1, 779, -246, 223, -458, -62, -847782
-163, -366, 595, -49, 402, -635, 314, 675, -166, -350, 7, -862, -435, -939, -381, 360, 690, 271, 622, 98, 78, -440, -486, 437, 365, 928, 528, -647, 104, -184, -712208
324, -177, -317, 430, 677, -464, 246, -93, 228, -946, 25, -39, -170, 428, -420, -702, 401, 476, -90, 601, 34, 860, -437, -418, 57, -960, 986, 314, 230, 864, -2264231
288, -525, -596, 464, 409, -289, -62, -517, -383, -111, -427, 402, 641, 170, 927, 968, -157, 927, 553, 287, 887, -491, -907, -162, -136, -639, -494, 284, -641, -788, 1036095
-968, 239, 620, -346, 282, 69, 745, 267, -119, 658, -130, -904, -149, -674, -671, -696, -576, -359, 45, 937, 635, 160, 91, 208, 349, -481, -462, -896, -619, 187, -205152
44, 801, -840, 725, -502, -562, -733, 229, 984, -702, -868, -380, 755, -119, 723, -463, 747, 834, 911, -432, -223, 988, 4, 14, 752, -797, 264, 567, 368, -465, -774330
514, 831, -323, -413, 356, 825, -284, -39, -887, 502, -705, -190, 924, -247, 165, -901, 652, 678, 462, -569, 703, 928, -484, 55, -795, 35, 221, 738, 527, -775, 1217014
-711, -542, 729, -7, 476, -873, 208, 673, -994, -266, -309, -925, 535, 15, 593, -339, -364, -492, -550, 150, 721, -169, 313, 250, 437, -766, -618, -874, 542, 924, 267157
998, -206, 963, -676, 782, 840, -948, 945, 741, -318, 294, 471, -952, -43, 754, 354, 179, -645, 790, 335, 780, 876, -33, 897, 508, 956, 940, -516, -661, -59, 1174414
966, 104, 536, 434, -11, -456, -58, 563, 558, -718, 51, -320, 221, 505, -733, 25, -942, -573, -763, 640, 579, -413, -404, 837, -172, 148, -151, 944, 725, -672, -2851748
-310, -833, 415, -963, 933, 668, -628, -469, -297, -258, 433, -39, 24, -628, 645, 646, -622, -524, 728, -610, -127, 558, 626, 206, -823, 506, 794, 304, 420, 387, 56124
-897, -743, 641, 256, 862, -487, -155, -827, 644, -966, 786, -833, 634, -538, 855, -740, -892, -416, 763, 762, 574, 784, 175, 61, 2, 504, 946, 654, 857, 57, -4455196
207, -9, -430, 928, -63, 396, -888, -634, -459, -767, 979, -8, -815, 888, 560, 970, -977, 962, 501, 428, -834, -48, 932, 759, -941, 828, -132, -516, -404, 914, -1669265
196, 481, -349, 577, 156, 239, -169, 511, 976, 99, -682, 493, 147, -723, -256, 582, -325, -227, -96, 947, -583, 145, -507, -225, -983, -434, -848, -947, 79, -279, -899662
434, -298, 726, 359, 859, -327, -11, 707, 311, 633, 451, 947, 78, 56, 926, 986, -226, -431, -695, 400, -875, -99, -541, 767, -435, -74, -840, -8, -183, -134, 2072106
571, -24, -907, 190, -392, 984, 809, -106, -861, -420, 487, 586, -150, 180, -122, -503, 26, 364, -362, -651, 500, -573, -867, 514, 358, 647, 87, -879, -724, 678, 2451792
131, -286, -29, 45, 852, -401, 852, 875, -875, -161, 60, 446, 307, 581, -963, 178, 357, 981, 960, -396, 832, 824, 595, -291, -47, -37, -837, -929, -71, -483, 713687
-16, 382, 712, 524, -607, 720, 227, 384, 140, -382, 193, 846, -172, -295, -280, 727, -844, 795, 53, 32, 543, -325, -161, -733, -493, 336, -268, 375, 51, 600, 2401465
173, 800, -279, -981, -16, -328, 47, -257, 978, 792, 323, 651, 919, 668, 794, 783, 143, 109, -269, 653, 665, 390, 881, 96, 668, 228, 7, 658, 9, -689, 1729607
-916, -273, 474, -993, -606, -721, -15, 4, -798, 374, -699, -10, -227, -804, 269, -957, 144, 584, 58, -911, -912, -41, -626, 97, 14, -883, -689, -23, -928, 437, 2880832
-335, 665, -303, -611, 23, 274, -771, 970, -473, 46, -435, 411, -472, -844, 211, -298, 522, 8, -648, 430, -795, -259, -482, -239, -943, 745, -202, 111, -145, 781, 810336
-262, 30, -565, 817, 43, -595, 506, -755, 802, 779, 596, 673, -108, -85, -931, 166, 99, 104, -18, 863, -531, 374, -591, -987, 120, -736, 729, 804, -38, -825, -2510537
-684, 933, -987, 519, -861, 270, -38, -749, -195, -70, 931, -308, 773, 841, -717, -760, -805, 549, -993, 317, 449, 95, 23, -263, 383, 466, 97, -811, -793, 425, -1878688
356, -845, 329, 684, -249, -143, -81, -788, -938, -431, -242, -120, 698, -251, -958, 462, -313, -683, -875, 742, 978, -98, 712, 186, -543, -178, 951, -348, 193, -186, -1290968
-258, -548, 10, -197, 405, 217, -458, -324, 570, -707, -945, 354, -474, -236, 670, -636, 259, 894, -2, -908, -93, -394, 829, 130, -292, 121, -230, -549, -745, -308, -424488
305, 869, 3, 944, -131, 994, -559, -831, 187, 495, 42, 112, 959, 832, 76, -630, 234, -45, 847, 554, 787, 175, 410, 356, 185, 799, -690, -569, 884, -77, -687788
462, -179, 738, -4, 584, -677, -106, -352, -828, 412, -643, 804, -48, 741, -390, -176, -163, -393, 738, 26, 574, -328, 409, 867, 760, -334, 671, -167, 721, -951, -1554535
-780, 299, -877, 276, -983, -844, 731, 288, -160, 228, 904, -799, 105, -799, 385, 61, -927, -943, 886, -110, 817, 199, 833, 504, 101, 778, 981, 451, 585, -571, -1921503
-705, 213, 607, -513, 570, 793, 607, 769, 472, 272, 611, -943, 360, 204, -916, -62, -655, -901, 247, -156, -929, 460, -826, -288, -151, 351, 56, -967, -398, -405, -1749137
811, -394, -542, -877, -473, 60, -969, 259, 523, -948, -265, -912, 345, 175, -561, -706, -574, -517, -30, 891, 59, -528, -987, -461, -729, -173, -900, -748, 578, 188, -3491186
-831, -208, -748, 571, -764, 875, -173, 200, 553, -345, -183, -611, 486, -162, 700, -166, 148, -224, -805, 797, 671, -528, -509, -341, 252, 360, 918, -338, -519, -512, -1288119
71, -803, 968, 56, -617, 996, -981, -796, 777, 525, -215, 54, -399, 585, 602, -458, 4, 900, -543, -519, 943, 983, -732, 840, 627, -81, -341, -162, 327, 571, 1996792
-801, -691, 77, 128, -785, 3, 732, -11, 489, 593, -518, 70, 550, -136, 608, -244, 399, -609, 2, 739, 445, -467, -292, -324, 47, 571, 610, -802, 96, -211, -17506
970, 711, -731, 927, -165, -473, 573, -823, 377, -355, -427, 974, 292, 915, -230, -511, -76, 75, -357, -774, 851, -442, 545, 62, -398, 615, -444, -431, 777, 930, -860968
-805, 578, -693, 716, 498, -757, -520, 533, 873, -364, -417, -760, -769, 315, 166, 468, 225, -965, 92, -47, 611, 799, -81, 106, 374, 775, -93, -94, -780, -121, -3865218
-665, 857, 951, 471, -344, -984, 511, 634, 261, -725, -902, -700, -708, -231, -137, -276, 532, -872, -217, -97, -500, 340, 48, 320, -640, 470, -747, 817, -99, 737, -694949
-897, -128, -693, 565, 286, -96, 525, 524, 211, 426, -228, -945, -914, 773, 238, -424, -678, 672, 240, -195, -384, -555, 830, 48, 346, -31, 572, -262, 76, -574, -4097868
780, 626, 720, 987, 17, -10, 724, 281, -266, -956, 85, -728, -2, -814, -337, -324, 502, 412, 41, -537, 28, 431, 458, 820, -738, -602, -75, -490, -491, -865, 1034437
64, -759, -719, 317, -989, -709, -796, -861, 873, 514, 562, -654, -215, -506, -859, -847, -127, -244, -696, 265, 889, -511, -535, 708, 193, 174, -221, -926, 289, -796, -3822330
-216, -969, -661, 894, -348, -433, 454, -979, 819, -971, 672, 576, 536, 896, -819, -614, -498, 811, -16, -772, 502, -257, -771, 593, -301, 363, -664, -288, 765, 99, -3029546
297, -718, 601, -932, 311, -847, 717, 548, 337, -585, 234, -739, -699, 805, -61, -608, -859, -141, -1, -605, -209, -845, 236, -183, 39, -697, 634, 512, 438, 614, -1907897
-58, 648, -280, 90, 67, -791, 859, 579, 824, -243, -564, -819, 136, -626, -744, 612, -326, 419, -219, 702, -209, 153, 454, 298, -922, 459, -658, 220, 792, -714, -2663960
-554, 994, 814, -945, -346, -496, 396, 883, -816, -510, -911, 716, -284, 792, 265, 876, 53, 267, -227, -371, 385, 616, -253, 281, -168, -631, -443, 983, 564, 670, 3137870
-896, -515, 371, 35, 508, -954, 159, -904, -116, -403, 193, -273, 270, 642, -828, 739, 234, -694, -561, -861, 629, -4, -501, -226, -587, 932, -430, 578, 175, 111, -2403575
-693, 785, 628, -150, -794, -303, 864, 645, -249, -122, -447, -973, -836, 836, -86, 432, -810, -206, -459, 421, 678, 877, -10, 107, 337, -340, 322, -128, -248, 711, -209822
727, 806, 566, -300, -341, -391, 734, 435, 74, -516, 883, 392, 680, -264, 713, 705, 908, -811, 32, -821, 911, 920, 478, -894, -766, -222, 405, -485, -814, -674, 3961715
875, 860, 703, -762, -569, 916, 778, -642, -796, 834, -787, 367, 611, 759, 964, 437, -56, -219, 316, -292, -512, -457, 352, -442, 435, 714, 390, 909, -318, 847, 5308506
-888, 434, -146, -298, 62, 956, 969, 475, 319, -398, 100, 729, -747, 163, 467, 692, 238, -498, 373, 754, 599, -702, -323, 472, -887, -770, 863, -541, 275, 585, 1083095
-591, -189, -984, 425, -891, -845, 118, -477, 299, -85, 20, 358, 53, -42, 664, -950, -432, 482, 679, 66, -103, -361, 482, 495, 84, -524, 545, 654, 572, 899, -940058
-592, 451, 507, 21, -506, -585, -538, -393, 641, 190, -869, 173, 477, -627, -406, 228, 601, -353, -665, -544, 908, 279, 723, -45, 897, 524, -170, -292, 112, 883, 1623842
983, -103, 129, 103, -140, 761, -45, -170, -796, -593, -946, 127, 131, 375, -189, 465, 713, 97, 69, 932, 533, -200, 995, 538, 826, -915, -963, 390, 65, 486, 3477216
823, -608, -292, 594, 484, 962, -902, -617, 492, 407, -68, -475, -854, 695, 629, -798, 683, -412, 720, 630, -484, -658, -530, -583, -517, -862, 628, 836, 964, 728, -2274086
-867, -913, -561, 27, 895, 603, -267, 296, -203, 121, 562, -597, -319, -176, -739, -845, 737, 280, -934, -183, 844, -890, -977, -424, 307, -953, 837, -154, -742, -629, -1710469
630, 634, -170, 96, -1000, -898, -181, -376, -515, 293, -414, -579, 881, 826, 340, 277, 523, 6, 271, -510, -785, -68, 494, 24, -570, -704, 197, -508, 97, 637, 1377576
-616, 660, -616, -953, -252, 686, 957, -459, -781, -746, 704, 211, -878, 813, 509, 502, 129, 726, -110, -361, -705, 446, -150, 917, -168, -209, 293, -363, -474, -213, 1037494
127, -422, -380, -538, 177, -74, -773, -274, -983, -155, 960, -860, -765, -3, -998, -558, -748, 886, -724, -190, 848, -496, -272, -301, -156, 474, 545, -577, 111, -714, -4054707
576, -780, 670, 425, -210, 103, -302, 256, 703, -454, -398, -647, 953, -43, 506, -70, -542, -997, -681, 826, -746, -395, -764, -8, 600, 284, -68, 529, 213, 772, -113012
-525, -514, -945, -862, -720, -175, -772, 568, -146, 893, -213, -520, -788, 113, 885, 927, -841, 527, 47, 965, 164, 196, 573, 534, 453, 451, 814, 717, 550, -958, -1928189
-508, 909, 171, 332, 712, -451, 54, 146, -758, -492, -106, 994, -288, 39, 584, 436, 344, 332, 454, -63, -67, 394, 840, 88, -178, 331, -967, 311, -636, 3, 1393155
755, -847, -221, -678, 769, -887, -160, -744, -466, 656, 790, 302, -271, -625, 202, -681, 942, 814, -179, 852, -258, 560, 572, 644, -397, 477, 479, 976, 227, -802, -657172
-747, 144, 400, 916, -759, 52, 323, 414, 32, 497, 173, 265, -341, 394, -596, 748, 173, 532, -150, -922, -844, -147, -382, 494, 773, -756, 343, -659, -678, 632, 2702335
827, 173, 603, 403, 196, -56, 48, -657, 590, -572, -197, -801, -464, 460, 787, -217, -989, 979, 206, 635, 279, 241, -982, 245, 163, -138, -304, -926, -5, -499, -2583533
73, -31, -509, 748, 892, -489, -574, -290, 850, -162, 515, 892, -616, -520, -329, -641, 228, 33, -71, -785, 220, 500, 233, -240, -163, 546, -993, 617, 712, -994, -3225262
-43, -803, -373, -265, 948, 250, -151, -901, -324, -872, -815, -588, 908, -538, 196, 396, -686, -297, 843, 561, 880, 608, 215, -486, -341, 932, 176, 912, 663, -363, -2969374
756, 339, -998, 49, -854, -403, 175, -973, 9, 749, 641, 991, -266, 129, -609, -763, -801, -909, -985, -606, 189, -751, 510, 737, -980, 347, 165, 839, -400, 938, 287183
841, 268, 882, -703, -533, -867, 805, -940, 194, 173, -936, 624, 94, 28, -704, -586, 293, -818, -775, 515, -210, -880, -991, 193, -939, -825, -306, -283, -297, 86, 700614
-608, 38, 180, 65, 39, -942, -266, 961, -732, 115, -501, -459, 311, -390, -174, 643, 958, -866, 497, -315, -845, 481, -934, 883, 196, -499, 666, 744, -481, 275, 1457070
-228, -359, -602, -99, -65, 79, -567, 916, -300, 95, 741, -144, -978, -60, -108, -514, 798, 737, 394, 447, 617, -53, 695, 628, 225, 679, 634, 51, -671, -907, -980407
-643, 624, 994, 396, 575, -350, -545, -621, 216, -496, 16, 13, 204, 502, -519, -723, -534, -175, -219, 918, -329, 107, -31, -898, -101, -144, -744, 225, -485, 401, -2885420
-848, -258, 113, -412, 33, -11, -926, -584, -20, -725, -996, 215, -843, 830, 914, 808, 276, -279, 664, -679, 280, 160, -85, 535, 638, 846, -89, 156, 35, 344, -951132
223, 339, 344, -523, -37, -399, -723, 747, -351, -216, -876, -933, -341, -299, 545, -443, -327, 597, -567, -390, -323, -533, 97, -814, -213, -754, 240, 851, -604, 758, 783741
252, -28, -391, 27, -816, -98, -918, 400, -763, -544, 244, 70, -557, -657, 900, -683, 750, 893, -148, -856, -977, -367, 56, 101, -912, 960, -705, -371, -720, -347, 1148781
292, 683, 305, -515, 793, -578, -94, -870, -34, -636, -867, 836, -477, 654, -441, 581, -505, 942, -181, 500, -695, 791, 600, -547, -851, 132, -426, 782, 71, -263, -2481603
676, -939, 375, -678, 711, 768, -432, 626, 563, -315, -765, -644, 834, 918, -599, 279, 526, -457, -395, -883, 167, -294, 816, 590, 226, 770, 666, 374, -763, 893, 1525800
-504, 500, -876, -576, -752, -394, -930, -833, 59, -279, 576, -800, 192, 204, 125, -81, -337, 635, 659, -796, -950, -548, -334, -409, 174, -476, 143, 943, 366, -451, -2196554
-602, -806, 466, -536, 348, -358, -5, 936, 408, -119, -464, -564, 259, -58, -320, -41, 964, -615, -646, 606, 323, 510, -598, -167, -619, 638, 489, 862, 603, -306, -1754854
-453, 68, -55, -323, -592, -584, -924, 730, 700, -516, 10, 100, -760, -638, -162, -964, 946, 559, 466, 669, 707, -199, -826, -926, 579, -929, -868, 34, -160, -333, -467520
977, -130, 506, -464, 125, 692, 92, -632, 921, 46, 128, 510, 580, 386, 750, -976, 97, 916, -827, -344, -6, -685, 742, 960, -590, -361, 871, 536, -513, -799, 1674180
-981, 842, -190, 591, -407, 391, -664, -649, -787, 38, -408, -239, -627, 514, 245, -431, 616, 564, 739, -236, -860, 483, 710, 868, 877, 209, 390, -268, 812, -41, -1698272
-323, -415, -18, -891, -689, 467, -325, -439, 56, 864, -880, -481, 695, 495, -719, -739, -541, -264, 247, -730, -158, -927, 137, 989, 526, 543, 808, 554, 799, 641, -437501
-220, -557, 541, 318, -362, 365, -581, -56, 331, -347, 232, -281, -454, -351, 159, -613, 567, -987, -511, -418, -156, -612, 237, -687, -484, -461, -930, 682, -856, -415, 478139
